City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Busselton,AU,54.82,overcast clouds,-33.65,115.3333,Observatory Guest House
10,Tuktoyaktuk,CA,50.0,mist,69.4541,-133.0374,End of The Road Ltd.
14,Hermanus,ZA,50.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
43,Narsaq,GL,57.42,clear sky,60.9167,-46.05,Sleep In Narsaq
45,Iqaluit,CA,53.33,few clouds,63.7506,-68.5145,Frobisher Inn
47,Esperance,AU,54.66,light rain,-33.8667,121.9,Hospitality Esperance
48,Nikolskoye,RU,58.91,scattered clouds,59.7035,30.7861,Tourist House - Sablino
55,Husavik,IS,53.37,overcast clouds,66.0449,-17.3389,Bjarnabúð
58,Ahipara,NZ,56.98,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
60,Port Elizabeth,ZA,55.69,few clouds,-33.918,25.5701,39 On Nile Guest House
63,Castro,BR,57.92,clear sky,-24.7911,-50.0119,CHACARA BAILLY
77,Mikkeli,FI,59.14,broken clouds,61.6886,27.2723,"Original Sokos Hotel Vaakuna, Mikkeli"
88,Carnarvon,AU,58.77,clear sky,-24.8667,113.6333,Hospitality Carnarvon
89,Port Macquarie,AU,55.92,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
101,Cape Town,ZA,55.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
105,Hwange,ZW,59.94,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
106,Port Alfred,ZA,58.23,light rain,-33.5906,26.891,The Halyards Hotel
109,Maun,BW,55.36,clear sky,-19.9833,23.4167,Enviro Villa
124,Copiapo,CL,55.09,clear sky,-27.3667,-70.3333,Antay Casino Hotel
128,Mar Del Plata,AR,53.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
132,Cherskiy,RU,57.22,overcast clouds,68.75,161.3,Gostinitsa
144,Noyabrsk,RU,58.86,scattered clouds,63.1994,75.4507,Hotel Uyutnaya
160,Baley,RU,52.3,clear sky,51.6,116.6333,Shkola 12.
184,Saldanha,ZA,50.05,broken clouds,-33.0117,17.9442,Blue Bay Lodge
186,Port Hedland,AU,50.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
191,Olafsvik,IS,50.65,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
193,Skoczow,PL,56.7,overcast clouds,49.8009,18.7877,DWÓR DĘBOWIEC I
198,Senanga,ZM,56.5,clear sky,-16.1167,23.2667,Zango lodge
199,Valparaiso,CL,52.48,light intensity shower rain,-33.0393,-71.6273,Hotel Ultramar
206,Bisho,ZA,51.55,broken clouds,-32.8472,27.4422,Bisho Park bnb
209,Mwinilunga,ZM,56.1,clear sky,-11.7358,24.4293,Kwakuwahi Lodge
215,Kinna,SE,58.44,clear sky,57.5073,12.6946,Hanatorps Camping
216,Ballina,AU,51.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
224,Nelson Bay,AU,54.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
226,Asau,RO,59.92,broken clouds,46.4333,26.4,Casa Mika Ciobanus
227,Parainen,FI,57.65,broken clouds,60.3067,22.301,Hotell Kalkstrand
229,Bure,ET,56.23,overcast clouds,10.7,37.0667,Holiday
231,George,ZA,51.35,overcast clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
240,Raudeberg,NO,50.67,overcast clouds,61.9875,5.1352,Nordre Silda.
