City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Poplar Bluff,US,36.757,-90.3929,92.34,46,0,1.01,clear sky
1,Barrow,US,71.2906,-156.7887,60.82,67,75,4.61,broken clouds
2,Cap Malheureux,MU,-19.9842,57.6142,70.47,66,92,8.99,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,72.91,77,13,3.98,few clouds
4,Busselton,AU,-33.65,115.3333,54.82,63,96,2.8,overcast clouds
5,Lebanon,US,36.2081,-86.2911,90.45,63,10,9.89,clear sky
6,Hede,CN,33.7681,120.2517,78.94,94,93,3.06,overcast clouds
7,Chuy,UY,-33.6971,-53.4616,64.47,89,17,6.55,few clouds
8,Fairbanks,US,64.8378,-147.7164,72.23,81,75,1.01,smoke
9,Albany,US,42.6001,-73.9662,82.17,35,67,3.09,broken clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,4.61,mist
11,Iskateley,RU,67.6803,53.1512,48.97,85,100,6.96,overcast clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,80.56,92,61,7.0,broken clouds
13,Dikson,RU,73.5069,80.5464,37.94,90,100,2.24,overcast clouds
14,Hermanus,ZA,-34.4187,19.2345,50.81,69,56,7.2,broken clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,73,0,17.27,clear sky
16,Ushuaia,AR,-54.8,-68.3,33.46,69,40,3.44,scattered clouds
17,Kodiak,US,57.79,-152.4072,60.31,63,100,14.97,overcast clouds
18,Hithadhoo,MV,-0.6,73.0833,82.17,70,100,3.2,overcast clouds
19,Odweyne,SO,9.4092,45.064,68.94,58,73,20.85,broken clouds
20,Tombouctou,ML,20.0,-3.0,98.06,11,9,4.65,clear sky
21,Yellowknife,CA,62.456,-114.3525,66.72,77,75,11.5,thunderstorm with light rain
22,Pokrovsk,UA,48.282,37.1758,65.61,86,100,7.49,overcast clouds
23,Ilulissat,GL,69.2167,-51.1,42.82,87,100,4.61,overcast clouds
24,Victoria,HK,22.2855,114.1577,85.32,83,92,5.01,overcast clouds
25,Norman Wells,CA,65.282,-126.8329,75.24,50,100,2.3,smoke
26,San-Pedro,CI,4.7485,-6.6363,74.86,79,51,6.89,broken clouds
27,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,6.91,broken clouds
28,Kailua,US,21.4022,-157.7394,85.98,71,92,5.99,overcast clouds
29,Los Lunas,US,34.8062,-106.7334,98.89,23,71,1.01,broken clouds
30,Preobrazheniye,RU,42.9019,133.9064,65.95,87,100,5.79,overcast clouds
31,Atuona,PF,-9.8,-139.0333,77.14,79,46,17.85,scattered clouds
32,Ahmadpur East,PK,29.1431,71.2598,90.36,59,98,4.65,overcast clouds
33,Hobart,AU,-42.8794,147.3294,49.86,81,75,12.66,broken clouds
34,Sao Filipe,CV,14.8961,-24.4956,73.87,85,21,6.69,few clouds
35,Mataura,NZ,-46.1927,168.8643,33.48,80,59,4.5,broken clouds
36,Punta Arenas,CL,-53.15,-70.9167,32.11,80,20,3.44,few clouds
37,Thompson,CA,55.7435,-97.8558,82.56,34,40,6.91,scattered clouds
38,Lorengau,PG,-2.0226,147.2712,83.25,70,74,8.34,broken clouds
39,Hambantota,LK,6.1241,81.1185,80.94,78,40,13.8,scattered clouds
40,Kavaratti,IN,10.5669,72.642,81.18,80,100,20.92,overcast clouds
41,Vaini,TO,-21.2,-175.2,75.36,88,75,9.22,broken clouds
42,Gonzalez,US,30.5816,-87.2914,91.85,78,100,12.66,thunderstorm
43,Narsaq,GL,60.9167,-46.05,57.42,80,9,4.38,clear sky
44,Cidreira,BR,-30.1811,-50.2056,64.29,85,100,11.43,overcast clouds
45,Iqaluit,CA,63.7506,-68.5145,53.33,66,20,3.44,few clouds
46,Pimentel,PE,-6.8367,-79.9342,70.09,64,20,10.36,few clouds
47,Esperance,AU,-33.8667,121.9,54.66,77,81,8.72,light rain
48,Nikolskoye,RU,59.7035,30.7861,58.91,98,31,2.01,scattered clouds
49,Namibe,AO,-15.1961,12.1522,63.36,87,4,2.15,clear sky
50,Inverell,AU,-29.7833,151.1167,46.17,91,1,4.0,clear sky
51,Nemuro,JP,43.3236,145.575,60.13,99,97,11.27,overcast clouds
52,Lafia,NG,8.4833,8.5167,75.67,87,83,4.05,broken clouds
53,Leningradskiy,RU,69.3833,178.4167,38.46,86,100,12.75,overcast clouds
54,Bairiki,KI,1.3292,172.9752,82.4,89,40,10.36,scattered clouds
55,Husavik,IS,66.0449,-17.3389,53.37,94,100,1.99,overcast clouds
56,Tautira,PF,-17.7333,-149.15,77.61,78,74,18.25,light rain
57,La Ferte-Bernard,FR,48.1863,0.6536,73.02,57,88,8.43,overcast clouds
58,Ahipara,NZ,-35.1667,173.1667,56.98,91,100,8.75,overcast clouds
59,Hilo,US,19.7297,-155.09,84.27,81,100,5.75,overcast clouds
60,Port Elizabeth,ZA,-33.918,25.5701,55.69,90,20,11.5,few clouds
61,Carauari,BR,-4.8828,-66.8958,76.03,96,46,0.96,scattered clouds
62,Abeche,TD,13.8292,20.8324,88.59,20,58,4.07,broken clouds
63,Castro,BR,-24.7911,-50.0119,57.92,77,6,3.15,clear sky
64,Keti Bandar,PK,24.1447,67.4497,82.85,85,100,17.85,overcast clouds
65,Gat,IL,31.61,34.7642,77.81,100,12,5.53,few clouds
66,Mweka,CD,-4.85,21.5667,71.71,31,3,0.89,clear sky
67,New Norfolk,AU,-42.7826,147.0587,49.5,79,100,3.15,overcast clouds
68,San Jose,US,37.3394,-121.895,97.88,34,0,10.36,clear sky
69,Bethel,US,41.3712,-73.414,84.04,44,0,5.75,clear sky
70,Jamestown,US,42.097,-79.2353,81.52,31,0,5.75,clear sky
71,Athabasca,CA,54.7169,-113.2854,70.21,52,81,13.15,broken clouds
72,Nakhon Thai,TH,17.1006,100.8374,73.83,98,89,0.4,overcast clouds
73,Qaanaaq,GL,77.484,-69.3632,43.34,74,100,6.17,overcast clouds
74,Takapau,NZ,-40.0333,176.35,45.73,95,100,4.18,light rain
75,Camopi,GF,3.1655,-52.3158,73.53,98,31,2.89,scattered clouds
76,Birao,CF,10.2849,22.7882,74.3,80,85,3.67,overcast clouds
